Time,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
2013-06-30 22:03:24,1372629804,2,5851.9989,87.7799835,1.5,8218624.0,1034592.8,160.86666666666667,21.73333333333333,0.26666666666666666,1.4666666666666666
2013-06-30 22:08:24,1372630104,2,5851.9989,29.2599945,0.5,8218624.0,458575.46666666673,0.0,2.333333333333333,0.2,1.0
2013-06-30 22:13:24,1372630404,2,5851.9989,27.3093282,0.4666666666666666,8218624.0,184548.0,32.06666666666667,4.2,0.13333333333333333,1.0666666666666669
2013-06-30 22:18:24,1372630704,2,5851.9989,23.4079956,0.4,8218624.0,78292.26666666666,0.0,0.8666666666666667,0.06666666666666668,1.0
2013-06-30 22:23:24,1372631004,2,5851.9989,19.506663,0.33333333333333337,8218624.0,167772.0,0.0,0.2,0.13333333333333333,1.0
2013-06-30 22:28:24,1372631304,2,5851.9989,29.2599945,0.5,8218624.0,39146.13333333333,0.0,0.26666666666666666,0.2,1.0
2013-06-30 22:33:24,1372631604,2,5851.9989,29.2599945,0.5,8218624.0,173363.2,0.0,0.4,0.2,1.0
2013-06-30 22:38:24,1372631904,2,5851.9989,29.2599945,0.5,8218624.0,95068.8,0.0,0.2,0.5333333333333333,1.0
2013-06-30 22:43:24,1372632204,2,5851.9989,29.2599945,0.5,8218624.0,145401.86666666667,0.0,0.2,0.3333333333333333,1.0
2013-06-30 22:48:24,1372632504,2,5851.9989,19.506663,0.33333333333333337,8218624.0,11184.8,0.0,1.0,0.4,1.1333333333333333
2013-06-30 22:53:24,1372632804,2,5851.9989,27.3093282,0.4666666666666666,8218624.0,134216.26666666663,0.0,0.2,0.4,1.0
2013-06-30 22:58:24,1372633104,2,5851.9989,29.2599945,0.5,8218624.0,78292.8,0.0,0.2,0.2,1.0
2013-06-30 23:03:24,1372633404,2,5851.9989,29.2599945,0.5,8218624.0,117440.26666666663,0.0,0.4666666666666667,0.3333333333333333,1.0
2013-06-30 23:08:24,1372633704,2,5851.9989,25.3586619,0.43333333333333335,8218624.0,150994.4,0.0,0.2,0.06666666666666668,1.0
2013-06-30 23:13:24,1372634004,2,5851.9989,27.3093282,0.4666666666666666,8218624.0,139808.53333333333,0.0,0.2,0.0,1.0
2013-06-30 23:18:24,1372634304,2,5851.9989,29.2599945,0.5,8218624.0,83884.0,0.0,0.2,0.06666666666666668,1.0
2013-06-30 23:23:24,1372634604,2,5851.9989,29.2599945,0.5,8218624.0,100661.6,0.0,0.2,0.2,1.0
2013-06-30 23:28:23,1372634903,2,5851.9989,25.3586619,0.43333333333333335,8218624.0,212510.13333333333,0.0,0.2,0.13333333333333333,1.0
2013-06-30 23:33:23,1372635203,2,5851.9989,11.7039978,0.2,8218624.0,100661.33333333331,0.0,1.0666666666666669,0.2,1.0
2013-06-30 23:38:23,1372635503,2,5851.9989,29.2599945,0.5,8218624.0,117439.2,0.0,0.6,0.4,1.1333333333333333
2013-06-30 23:43:23,1372635803,2,5851.9989,29.2599945,0.5,8218624.0,117439.2,0.0,0.2,0.3333333333333333,1.0
2013-06-30 23:48:23,1372636103,2,5851.9989,25.3586619,0.43333333333333335,8218624.0,190140.8,0.0,0.2,0.26666666666666666,1.0
2013-06-30 23:53:23,1372636403,2,5851.9989,25.3586619,0.43333333333333335,8218624.0,201324.8,0.0,0.2,0.26666666666666666,1.0
2013-06-30 23:58:23,1372636703,2,5851.9989,29.2599945,0.5,8218624.0,128624.26666666663,0.0,0.2,0.0,1.0
2013-07-01 00:03:24,1372637004,2,5851.9989,29.2599945,0.5,8218624.0,106254.4,0.0,0.4666666666666667,0.26666666666666666,1.0
2013-07-01 00:08:24,1372637304,2,5851.9989,29.2599945,0.5,8218624.0,100661.6,0.0,0.26666666666666666,0.13333333333333333,1.0
2013-07-01 00:13:24,1372637604,2,5851.9989,29.2599945,0.5,8218624.0,184548.0,0.0,0.26666666666666666,0.2,1.0
2013-07-01 00:18:24,1372637904,2,5851.9989,29.2599945,0.5,8218624.0,190140.53333333333,0.0,0.26666666666666666,0.06666666666666668,1.0
2013-07-01 00:23:24,1372638204,2,5851.9989,29.2599945,0.5,8218624.0,195732.53333333333,0.0,12.666666666666664,0.13333333333333333,1.0
2013-07-01 00:28:24,1372638504,2,5851.9989,29.2599945,0.5,8218624.0,156586.4,0.0,0.26666666666666666,0.13333333333333333,1.0
2013-07-01 00:33:24,1372638804,2,5851.9989,25.3586619,0.43333333333333335,8218624.0,117439.73333333337,0.0,0.7333333333333333,0.26666666666666666,1.0
2013-07-01 00:38:24,1372639104,2,5851.9989,21.4573293,0.36666666666666653,8218624.0,111846.4,0.0,0.4666666666666667,0.3333333333333333,1.0
2013-07-01 00:43:24,1372639404,2,5851.9989,27.3093282,0.4666666666666666,8218624.0,162178.66666666663,0.0,0.7333333333333333,0.6,1.0666666666666669
2013-07-01 00:48:24,1372639704,2,5851.9989,29.2599945,0.5,8218624.0,167770.66666666663,0.0,0.2,0.26666666666666666,1.0
2013-07-01 00:53:24,1372640004,2,5851.9989,29.2599945,0.5,8218624.0,78291.73333333334,0.0,0.2,0.3333333333333333,1.0
2013-07-01 00:58:24,1372640304,2,5851.9989,27.3093282,0.4666666666666666,8218624.0,39145.86666666667,0.0,0.2,0.2,1.0
2013-07-01 01:03:24,1372640604,2,5851.9989,29.2599945,0.5,8218624.0,111846.93333333332,0.0,0.13333333333333333,0.2,1.0
2013-07-01 01:08:24,1372640904,2,5851.9989,27.3093282,0.4666666666666666,8218624.0,95069.86666666668,0.0,0.13333333333333333,0.0,1.0
2013-07-01 01:13:24,1372641204,2,5851.9989,29.2599945,0.5,8218624.0,162178.93333333332,0.0,0.13333333333333333,0.13333333333333333,1.0
2013-07-01 01:18:24,1372641504,2,5851.9989,29.2599945,0.5,8218624.0,61515.2,0.0,0.21428571428571427,0.13333333333333333,1.0
2013-07-01 01:23:24,1372641804,2,5851.9989,29.2599945,0.5,8218624.0,123031.2,0.0,0.6666666666666666,0.2,1.0666666666666669
2013-07-01 01:28:24,1372642104,2,5851.9989,29.2599945,0.5,8218624.0,156585.86666666667,0.0,0.26666666666666666,0.13333333333333333,1.0
2013-07-01 01:33:24,1372642404,2,5851.9989,29.2599945,0.5,8218624.0,72700.26666666666,0.0,0.21428571428571427,0.2,1.0
2013-07-01 01:38:24,1372642704,2,5851.9989,27.3093282,0.4666666666666666,8218624.0,22369.6,0.0,0.2,0.3333333333333333,1.0
2013-07-01 01:43:25,1372643005,2,5851.9989,29.2599945,0.5,8218624.0,78293.6,0.0,0.2,0.26666666666666666,1.0
2013-07-01 01:48:25,1372643305,2,5851.9989,23.4079956,0.4,8218624.0,33553.6,0.0,0.2,0.3333333333333333,1.0
2013-07-01 01:53:25,1372643605,2,5851.9989,29.2599945,0.5,8218624.0,89477.86666666668,0.0,0.2,0.26666666666666666,1.0
2013-07-01 01:58:25,1372643905,2,5851.9989,29.2599945,0.5,8218624.0,111846.93333333332,0.0,0.13333333333333333,0.06666666666666668,1.0
2013-07-01 02:03:25,1372644205,2,5851.9989,29.2599945,0.5,8218624.0,83884.0,0.0,0.2,0.13333333333333333,1.0
2013-07-01 02:08:25,1372644505,2,5851.9989,29.2599945,0.5,8218624.0,95069.86666666668,0.0,0.2,0.13333333333333333,1.0
2013-07-01 02:13:25,1372644805,2,5851.9989,29.2599945,0.5,8218624.0,106254.13333333332,0.0,0.26666666666666666,0.13333333333333333,1.0
2013-07-01 02:18:25,1372645105,2,5851.9989,29.2599945,0.5,8218624.0,162178.66666666663,0.0,0.2,0.13333333333333333,1.0
2013-07-01 02:23:25,1372645405,2,5851.9989,29.2599945,0.5,8218624.0,117438.66666666669,0.0,0.13333333333333333,0.4666666666666667,1.1333333333333333
2013-07-01 02:28:25,1372645705,2,5851.9989,23.4079956,0.4,8218624.0,61516.0,0.0,0.26666666666666666,0.2,1.0
